Valerie,Fernandez,TOULOUSE 31200,05.94.07.78.50,valerie.fernandez@outlook.fr,,
,Dias-Albert,,01.04.29.49.64,marianne.dias-albert@gmail.com,,25/12/1989
,Collin,,01.54.02.88.14,david.collin@hotmail.fr,,07/08/1984
Alphonse-Julien,Hamel,RENNES 35200,02.51.76.45.49,alphonse-julien.hamel@outlook.fr,avocat,
Susanne-Adele,Costa,BORDEAUX 33000,05.64.80.35.50,susanne-adele.costa@gmail.com,,23/11/1969
,Bigot,RENNES 35000,02.45.27.42.79,nathalie.bigot@hotmail.fr,architecte,
Adele,Pottier,DECINES-CHARPIEU 69150,04.89.40.96.60,adele.pottier@gmail.com,,26/05/1981
Georges,Traore,RENNES 35000,02.97.85.23.34,,ouvrier,26/10/1967
Marie,du Baudry,TOULOUSE 31100,05.08.49.73.88,marie.du-baudry@gmail.com,,
Suzanne,Couturier,PARIS 75019,01.04.79.91.27,suzanne.couturier@server.fr,boulanger,
Alfred,Boutin de Leblanc,MONTPELLIER 34070,04.60.27.85.59,alfred.boutin-de-leblanc@hotmail.fr,avocat,
Aurore,Ramos,MARSEILLE 13006,04.04.09.56.77,aurore.ramos@hotmail.fr,agriculteur,29/04/1958
Daniel,Lacombe,MARSEILLE 13010,04.82.18.07.60,daniel.lacombe@hotmail.fr,militaire,28/12/1963
Colette,Noel,PARIS 75007,01.66.15.95.33,colette.noel@hotmail.fr,journaliste,
Olivier,Marie Le Ferrand,,04.27.90.75.71,olivier.marie-le-ferrand@outlook.fr,,18/12/1961
Aime,Besson,VILLEURBANNE 69100,04.20.54.82.82,aime.besson@gmail.com,enseignant,29/10/1975
Stephane,de Mercier,MARSEILLE 13009,04.68.48.65.10,stephane.de-mercier@yahoo.fr,ouvrier,10/10/1989
Honore,Charpentier,,01.35.83.58.82,honore.charpentier@outlook.fr,,11/02/1994
,Maurice,,02.81.18.65.45,franck.maurice@gmail.com,,
Eric,Martinez,LYON 69006,04.09.43.18.54,eric.martinez@gmail.com,,17/12/1967
,Gaudin,MARSEILLE 13010,04.19.06.42.36,bernadette.gaudin@hotmail.fr,footballeur,22/04/1960
Denise,de Alves,,02.28.40.44.91,denise.de-alves@outlook.fr,,12/09/1963
Alice,Le Becker,,04.61.88.22.48,alice.le-becker@hotmail.fr,agriculteur,
